NAME,Path,PHYCUV,BOAALB,BOALUN
INCT41_20201028_184500_0,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_184500\INCT41_20201028_184500_0.png,0,1,0
INCT41_20201028_184500_1,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_184500\INCT41_20201028_184500_1.png,0,1,0
INCT41_20201028_184500_2,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_184500\INCT41_20201028_184500_2.png,0,1,0
INCT41_20201028_184500_3,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_184500\INCT41_20201028_184500_3.png,0,1,0
INCT41_20201028_184500_4,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_184500\INCT41_20201028_184500_4.png,0,1,0
INCT41_20201028_184500_5,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_184500\INCT41_20201028_184500_5.png,0,1,0
INCT41_20201028_194500_0,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_0.png,0,1,1
INCT41_20201028_194500_1,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_1.png,0,1,1
INCT41_20201028_194500_10,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_10.png,0,0,0
INCT41_20201028_194500_2,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_2.png,0,1,0
INCT41_20201028_194500_3,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_3.png,0,1,1
INCT41_20201028_194500_4,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_4.png,0,1,1
INCT41_20201028_194500_5,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_5.png,0,1,1
INCT41_20201028_194500_6,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_6.png,0,1,1
INCT41_20201028_194500_7,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_7.png,0,1,1
INCT41_20201028_194500_8,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_8.png,0,1,1
INCT41_20201028_194500_9,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_194500\INCT41_20201028_194500_9.png,0,0,1
INCT41_20201028_224500_0,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_0.png,0,0,1
INCT41_20201028_224500_1,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_1.png,0,1,0
INCT41_20201028_224500_10,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_10.png,0,1,1
INCT41_20201028_224500_11,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_11.png,0,0,1
INCT41_20201028_224500_2,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_2.png,0,0,1
INCT41_20201028_224500_3,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_3.png,0,1,1
INCT41_20201028_224500_4,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_4.png,0,0,1
INCT41_20201028_224500_5,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_5.png,0,1,1
INCT41_20201028_224500_6,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_6.png,0,1,1
INCT41_20201028_224500_7,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_7.png,0,0,1
INCT41_20201028_224500_8,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_8.png,0,0,1
INCT41_20201028_224500_9,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_224500\INCT41_20201028_224500_9.png,0,0,1
INCT41_20201028_234500_0,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_234500\INCT41_20201028_234500_0.png,0,0,0
INCT41_20201028_234500_1,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_234500\INCT41_20201028_234500_1.png,0,0,0
INCT41_20201028_234500_2,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_234500\INCT41_20201028_234500_2.png,0,0,0
INCT41_20201028_234500_3,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_234500\INCT41_20201028_234500_3.png,0,0,0
INCT41_20201028_234500_4,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_234500\INCT41_20201028_234500_4.png,0,0,0
INCT41_20201028_234500_5,../SCRIPTS/TDL/PHYCUV/AUSPEC_PRU/INCT41_20201028_234500\INCT41_20201028_234500_5.png,0,0,0
